size;resolution;mask_size;nanoseconds
4;640x360;7x7;22811800
4;640x360;9x9;37257100
4;640x360;11x11;54239200
4;640x360;13x13;74547700
4;640x360;15x15;100186000
3;320x180;3x3;2050000
3;320x180;5x5;3666200
3;320x180;7x7;6244100
3;320x180;9x9;9324800
3;320x180;11x11;13903300
3;320x180;13x13;19684500
3;320x180;15x15;25924100
2;160x90;3x3;1244700
2;160x90;5x5;2055600
2;160x90;7x7;3126000
2;160x90;9x9;4830100
2;160x90;11x11;7179200
2;160x90;13x13;9248300
2;160x90;15x15;12014800
1;80x45;3x3;994300
1;80x45;5x5;1859600
1;80x45;7x7;2100800
1;80x45;9x9;3136400
1;80x45;11x11;4325600
1;80x45;13x13;5976300
1;80x45;15x15;7751500
5;1280x720;3x3;21163000
5;1280x720;5x5;47760000
5;1280x720;7x7;87224500
5;1280x720;9x9;149416500
5;1280x720;11x11;215297300
5;1280x720;13x13;291052400
5;1280x720;15x15;378487600
4;640x360;3x3;5132400
4;640x360;5x5;12115200
4;640x360;7x7;22556500
4;640x360;9x9;36208000
4;640x360;11x11;53346100
4;640x360;13x13;73793700
4;640x360;15x15;94564100
3;320x180;3x3;1556100
3;320x180;5x5;3244500
3;320x180;7x7;5669200
3;320x180;9x9;8981400
3;320x180;11x11;13135100
3;320x180;13x13;18166100
3;320x180;15x15;23860300
2;160x90;3x3;961500
2;160x90;5x5;1788800
2;160x90;7x7;3054000
2;160x90;9x9;4670600
2;160x90;11x11;6666600
2;160x90;13x13;9013800
2;160x90;15x15;11907900
1;80x45;3x3;818300
1;80x45;5x5;1344200
1;80x45;7x7;2295200
1;80x45;9x9;3213500
1;80x45;11x11;4333400
1;80x45;13x13;6012500
1;80x45;15x15;7467300
5;1280x720;3x3;18244400
5;1280x720;5x5;43178300
5;1280x720;7x7;81309300
5;1280x720;9x9;131069700
5;1280x720;11x11;197025700
5;1280x720;13x13;287336900
5;1280x720;15x15;399644900
4;640x360;3x3;6358400
4;640x360;5x5;12199700
4;640x360;7x7;23114700
4;640x360;9x9;36079800
4;640x360;11x11;54078800
4;640x360;13x13;74399200
4;640x360;15x15;101119800
3;320x180;3x3;2059600
3;320x180;5x5;3753300
3;320x180;7x7;6477300
3;320x180;9x9;9423200
3;320x180;11x11;13304900
3;320x180;13x13;19165600
3;320x180;15x15;25854000
